Time,avg,min,max
2015-11-05 00:00:00 UTC,261.6783676,290.0853497,248.7881702
2015-11-06 00:00:00 UTC,246.7309564,259.8632526,234.963753
2015-11-07 00:00:00 UTC,255.2520503,260.3164042,247.108526
2015-11-08 00:00:00 UTC,254.6007585,259.3910171,244.9509647
2015-11-09 00:00:00 UTC,249.202754,256.4476649,241.5314215
2015-11-10 00:00:00 UTC,244.6969564,252.8009903,233.3028882
2015-11-11 00:00:00 UTC,210.022071,233.3028882,200.1504273
2015-11-12 00:00:00 UTC,214.3029928,222.0616314,202.5334445
2015-11-13 00:00:00 UTC,219.5906991,224.3241864,214.2659108
2015-11-14 00:00:00 UTC,219.0469118,222.9910476,215.850235
2015-11-15 00:00:00 UTC,216.3521665,220.2761138,209.1487004
2015-11-16 00:00:00 UTC,211.7574101,218.8085773,208.0304762
2015-11-17 00:00:00 UTC,220.3826821,222.9230468,217.0166142
2015-11-18 00:00:00 UTC,219.6343187,221.8865644,217.4114228
2015-11-19 00:00:00 UTC,217.1043591,220.8033197,212.6779991
2015-11-20 00:00:00 UTC,210.6879795,214.2730619,206.0202436
2015-11-21 00:00:00 UTC,213.898617,216.5055347,209.7928604
2015-11-22 00:00:00 UTC,213.6070909,215.5629005,210.9641291
2015-11-23 00:00:00 UTC,213.4948459,215.2729653,211.5953756
2015-11-24 00:00:00 UTC,212.6662473,214.6495434,210.4129657
2015-11-25 00:00:00 UTC,213.6309467,218.3888708,209.4676888
2015-11-26 00:00:00 UTC,225.7305121,233.9037572,217.3944634
2015-11-27 00:00:00 UTC,236.5695196,240.9696526,231.3463632
2015-11-28 00:00:00 UTC,236.4607868,239.7127044,234.159792
2015-11-29 00:00:00 UTC,239.8440911,243.7029497,235.9385458
2015-11-30 00:00:00 UTC,250.3913447,254.8587344,243.7029497
2015-12-01 00:00:00 UTC,244.5251766,251.9132298,237.9924741
2015-12-02 00:00:00 UTC,237.0984796,242.4916749,232.5244736
2015-12-03 00:00:00 UTC,241.1415138,247.3026108,237.4723815
2015-12-04 00:00:00 UTC,238.25314,240.8061421,234.940256
2015-12-05 00:00:00 UTC,247.300399,251.7868151,239.9888725
2015-12-06 00:00:00 UTC,259.9208454,264.5616397,251.7868151
2015-12-07 00:00:00 UTC,261.2579743,266.1534706,255.8734239
2015-12-08 00:00:00 UTC,263.402748,266.1990928,259.5737209
2015-12-09 00:00:00 UTC,276.0382777,281.9639135,266.1990928
2015-12-10 00:00:00 UTC,273.9375902,277.4572559,270.2479817
2015-12-11 00:00:00 UTC,284.3931452,297.8137167,273.7432843
2015-12-12 00:00:00 UTC,286.3829237,300.1200693,277.3824655
2015-12-13 00:00:00 UTC,285.6634834,288.9895623,281.4154748
2015-12-14 00:00:00 UTC,292.3450044,295.8524982,289.1279905
2015-12-15 00:00:00 UTC,301.7556829,309.3117613,291.9894226
2015-12-16 00:00:00 UTC,304.4193569,309.5437929,299.0888355
2015-12-17 00:00:00 UTC,304.8696169,307.9665952,299.9378643
2015-12-18 00:00:00 UTC,308.0685921,311.902305,299.9378643
2015-12-19 00:00:00 UTC,310.5778711,313.0525144,306.2318276
2015-12-20 00:00:00 UTC,304.7430169,310.6997905,294.5658761
2015-12-21 00:00:00 UTC,293.536571,298.7166517,288.6391441
2015-12-22 00:00:00 UTC,295.027369,298.0529645,291.6427789
2015-12-23 00:00:00 UTC,296.1333078,299.4849203,292.9239443
2015-12-24 00:00:00 UTC,304.3070254,308.1665877,297.2639389
2015-12-25 00:00:00 UTC,304.9700496,307.8464213,301.9712758
2015-12-26 00:00:00 UTC,290.6212073,307.0282285,277.6331518
